014;INGENIERIA AMBIENTAL;PROGRAMA DE PREGRADO EN INGENIERIA AMBIENTAL - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
017;INGENIERIA CIVIL;PROGRAMA DE PREGRADO EN INGENIERIA CIVIL - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
018;INGENIERIA MECANICA;PROGRAMA DE PREGRADO EN INGENIERIA MECANICA - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
019;INGENIERIA DE SISTEMAS;PROGRAMA DE PREGRADO EN INGENIERIA DE SISTEMAS - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
022;CONTADURIA PUBLICA;PROGRAMA DE PREGRADO EN CONTADURIA PUBLICA - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
024;DERECHO;PROGRAMA DE PREGRADO EN DERECHO - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
031;COMUNICACION SOCIAL;PROGRAMA DE PREGRADO EN COMUNICACION SOCIAL - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
071;ZOOTECNIA;PROGRAMA DE PREGRADO EN ZOOTECNIA - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
094;TECNOLOGIA GESTION COMERCIAL;PROGRAMA DE TECNOLOGIA EN GESTION COMERCIAL Y FINANCIERA - UFPSO;Y;2023-01-01 00:00:00;\N
095;ADMINISTRACION DE EMPRESAS;PROGRAMA DE PREGRADO EN ADMINISTRACION DE EMPRESAS - UFPSO OCANA;Y;2023-01-01 00:00:00;\N
